language,namespace,label,text
en,translation,root.translation.create.menu,Create
en,translation,root.translation.create.form.submit,Create!
en,translation,common.back.menu,Back
en,translation,root.translation.form.cancel,Cancel!
en,translation,root.translation.create.form.namespace.label,Namespace
en,translation,root.translation.create.form.text.label,Text
en,translation,root.translation.create.title,Create translation
en,translation,root.translation.title,Translation
en,translation,root.sign-out.menu,Sign out!
en,translation,common.view-item,View
en,translation,root.header.search.label,Search everywhere!
en,translation,root.translation.create.form.title,Translation
en,translation,root.translation.create.success,Translation created!
en,translation,root.translation.dashboard.menu,Dashboard
en,translation,root.translation.list.menu,List
en,translation,common.edit-item,Edit
en,translation,common.copy-success,You have copied the UUID in your clipboard!
en,translation,common.yes,Yep!
en,translation,common.no,Nope!
en,translation,root.translation.create.form.cancelConfirm,"All changes will be lost, proceed?"
en,translation,root.translation.list.title,Translations
en,translation,root.translation.list.table.id.column,UUID
en,translation,root.translation.list.table.language.column,Language
en,translation,root.translation.list.table.namespace.column,Namespace
en,translation,root.translation.list.table.label.column,Label
en,translation,root.translation.edit.form.edit,Edit!
en,translation,root.translation.edit.form.title,Translation
en,translation,common.warped,You have been warped to target!
en,translation,root.user.dashboard.menu,Dashboard
en,translation,root.user.create.menu,Create
en,translation,root.user.list.menu,List
en,translation,root.user.list.title,Users
en,translation,root.home.content.title,Welcome to DeRivean Game Server!
en,translation,root.home.title,Server Administration
en,translation,root.translation.create.list.title,Translations
en,translation,root.translation.home.menu,Translation
en,translation,root.translation.menu,Translations
en,translation,root.sign-out.title,Sign out?
en,translation,root.sign-out.subtitle,Do you really want to leave administration?
en,translation,root.translation.create.list.item-0,You can simply change all texts displayed
en,translation,root.translation.create.form.text.required,Translation text is required!
en,translation,root.translation.form.language.label,Language
en,translation,root.translation.update.success,Translation updated!
en,translation,root.translation.create.error,"Cannot create translation, please check form!"
en,translation,root.translation.form.title,Translation
en,translation,root.statistic.translations,Translations
en,translation,root.statistic.heroes,Heroes
en,translation,root.statistic.users,Users
en,translation,root.statistic.kingdoms,Kingdoms
en,translation,root.statistic.buildings,Buildings
en,translation,root.home.content.subtitle,This is the place where all the dark magic happens!
en,translation,root.blog.menu,Blog
en,translation,root.blog.dashboard.menu,Dashboard
en,translation,root.blog.create.menu,New Post
en,translation,root.blog.list.menu,List
en,translation,root.translation.form.text.required,Translation text is required!
en,translation,root.translation.form.label.required,Translation label is required!
en,translation,root.translation.form.language.required,Language is required!
en,translation,public.home.menu,Home
en,translation,public.sign-up.menu,Sign up
en,translation,public.sign-in.menu,Sign in
en,translation,public.home.sign-in.title,Sign In!
en,translation,public.home.sign-up.title,Sign Up!
en,translation,public.home.content.title,Welcome to DeRivean!
en,translation,public.home.content.subtitle,You're welcome to look around and start playing!
en,translation,public.home.content.list.title,"DeRivean is simple game, where you will:"
en,translation,public.home.content.list.item-0,Create your own heroes and take them to battle.
en,translation,public.home.content.list.item-1,Gain experience in quite different way and build you kingdom.
en,translation,public.home.content.list.item-2,"Fight other players, pass stages and become most powerful king over here!"
en,translation,root.user.menu,User
en,translation,public.sign-up.title,Sign Up!
en,translation,public.sign-up.content.title,Sign up to join World of DeRivean!
en,translation,root.translation.edit.menu,Edit
en,translation,public.sign-up.content.subtitle,Just type a few things and start playing!
en,translation,root.home.menu,Home
en,translation,root.building.dashboard.menu,Dashboard
en,translation,public.sign-up.content.list.title,"This is a RPG game, where you will:"
